EQUIP_ID,YEAR,MAKE,MODEL,COLOR,DESCRIPTION,AUCTION HOUSE,COMMENTS
79108,2007,DODGE,CHARGER,BLUE,PATROL CAR - TRAFFIC,BIDADOO ONLINE AUCTION,TOTALED 11/2014
05549,2000,FREIGHTLINER,FL60,WHITE,TRUCK - ASPHALT FLATBED - CLASS 7,BIDADOO ONLINE AUCTION,
78081,2007,TORO,4000-D,RED,MOWER - 11` ROTARY,BIDADOO ONLINE AUCTION,
87614,2008,HARLEY-DAVIDSON,FLHPI ROAD KING,WHITE,POLICE MOTORCYCLE,BIDADOO ONLINE AUCTION,
99220,2009,FORD,CROWN VICTORIA,BLUE,PATROL CAR,BIDADOO ONLINE AUCTION,
13335,2001,CHEVROLET,EXPRESS,WHITE,CARGO VAN,BIDADOO ONLINE AUCTION,
03811,2000,FORD,F250,GREEN,PICKUP - CREW CAB,MURPHYS AUCTION,
51674,2005,TOYOTA,PRIUS,WHITE,COMPACT SEDAN - HYBRID,BIDADOO ONLINE AUCTION,
79995,2007,FORD,CROWN VICTORIA,BLUE/WHITE,PATROL CAR - K9,BIDADOO ONLINE AUCTION,
51892,2005,TOYOTA,PRIUS,WHITE,COMPACT SEDAN - HYBRID,BIDADOO ONLINE AUCTION,
5869,1990,GMC,6000,,PICKUP - FLATBED - CLASS 4,BIDADOO ONLINE AUCTION,
43315,2004,FORD,F250,WHITE,PICKUP - DUMP BODY - DROP IN,BIDADOO ONLINE AUCTION,
44668,2004,FORD,F250,WHITE,PICKUP - 4X4,BIDADOO ONLINE AUCTION,
53771,2005,CHEVROLET,SUBURBAN K1500,RED,SUV FULLSIZE - 4X4,BIDADOO ONLINE AUCTION,
73673,2007,FORD,F350,WHITE,PICKUP,BIDADOO ONLINE AUCTION,
51625,2005,CHEVROLET,ASTRO,WHITE,CARGO MINIVAN,BIDADOO ONLINE AUCTION,
25889,2002,PETERBILT,330,GREEN,TRUCK - DUMP - CLASS 7,BIDADOO ONLINE AUCTION,
23308,2002,CHEVROLET,ASTRO,GREEN,PASSENGER MINIVAN,BIDADOO ONLINE AUCTION,
69908,2006,FORD,CROWN VICTORIA,BLUE/WHITE,PATROL CAR ACTIVE SPARE RESERVE,MURPHYS AUCTION,
89125,2008,FORD,CROWN VICTORIA,BLUE/WHITE,PATROL CAR,BIDADOO ONLINE AUCTION,
78028,2007,TORO,328-D 4WD,RED,"MOWER - 72"" ROTARY",BIDADOO ONLINE AUCTION,
99222,2009,FORD,CROWN VICTORIA,BLUE,PATROL CAR,BIDADOO ONLINE AUCTION,
99224,2009,FORD,CROWN VICTORIA,BLUE,PATROL CAR,BIDADOO ONLINE AUCTION,
99230,2009,FORD,CROWN VICTORIA,BLUE,PATROL CAR,BIDADOO ONLINE AUCTION,
