EquipID	Year	Make	Model	Description	Dept	SalePrice	SaleDate	AuctionHouse
53576	2005	DODGE	CARAVAN	MINIVAN CARGO	SPU	3500	1/8/2015 0:00	MURPHYS AUCTION
21097	2002	DODGE	NEON	SUBCOMPACT SEDAN	DPD	3050	12/17/2013 0:00	BIDADOO ONLINE AUCTION
21211	2002	DODGE	NEON	SUBCOMPACT SEDAN	HSD	3411	10/11/2013 0:00	BIDADOO ONLINE AUCTION
21191	2002	DODGE	NEON	SUBCOMPACT SEDAN	HSD	3500	11/6/2014 0:00	BIDADOO ONLINE AUCTION
21167	2002	DODGE	NEON	SUBCOMPACT SEDAN	HSD	3237.83	11/6/2013 0:00	BIDADOO ONLINE AUCTION
21243	2002	DODGE	NEON	SUBCOMPACT SEDAN	DPR	4900	5/17/2013 0:00	MURPHYS AUCTION
21854	2002	DODGE	NEON	SUBCOMPACT SEDAN	DPD	3650	1/29/2013 0:00	BIDADOO ONLINE AUCTION
11034	2001	PLYMOUTH	NEON	SUBCOMPACT SEDAN	SPD	3250.99	3/20/2013 0:00	BIDADOO ONLINE AUCTION
11518	2001	PLYMOUTH	NEON	SUBCOMPACT SEDAN	SPU	4500	3/28/2013 0:00	MURPHYS AUCTION
89111	2008	FORD	CROWN VICTORIA	PATROL CAR	SPD	850	10/23/2014 0:00	MURPHYS AUCTION
79973	2007	FORD	CROWN VICTORIA	PATROL CAR	SPD	875	10/15/2013 0:00	BIDADOO ONLINE AUCTION
79918	2007	FORD	CROWN VICTORIA	PATROL CAR	SPD	2100	5/17/2013 0:00	MURPHYS AUCTION
79961	2007	FORD	CROWN VICTORIA	PATROL CAR	SPD	1550	10/23/2014 0:00	MURPHYS AUCTION
30104	2010	FORD	CROWN VICTORIA	PATROL CAR	SPD	700	12/20/2013 0:00	MURPHYS AUCTION
69880	2006	FORD	CROWN VICTORIA	PATROL CAR	SPD	1025	2/25/2015 0:00	MURPHYS AUCTION
79986	2007	FORD	CROWN VICTORIA	PATROL CAR	SPD	950	10/23/2014 0:00	MURPHYS AUCTION
33423	2003	FORD	E250	CARGO VAN	SFD	6751	10/11/2013 0:00	BIDADOO ONLINE AUCTION
33728	2003	FORD	EXPEDITION	FULLSIZE SUV - 4X4	SFD	7000	11/8/2013 0:00	MURPHYS AUCTION
64576	2006	FORD	F250	PICKUP - SERVICE BODY	SPU	8100	10/23/2014 0:00	MURPHYS AUCTION
43790	2004	FORD	F250	PICKUP	DPR	8000	11/12/2014 0:00	BIDADOO ONLINE AUCTION
33708	2003	FORD	F250	PICKUP - CREW CAB	DPR	3700	6/27/2013 0:00	MURPHYS AUCTION
14575	2001	FORD	F250	PICKUP	DPR	3100	10/23/2014 0:00	MURPHYS AUCTION
14572	2001	FORD	F250	PICKUP	SPU	7600	10/23/2014 0:00	MURPHYS AUCTION
13338	2001	FORD	F250	PICKUP	DPR	2400	9/27/2013 0:00	MURPHYS AUCTION
24652	2002	FORD	F350	PICKUP - SERVICE BODY	SPU	12700	3/4/2015 0:00	BIDADOO ONLINE AUCTION
24617	2002	FORD	F350	PICKUP - SERVICE BODY	SPU	14600	5/6/2014 0:00	BIDADOO ONLINE AUCTION
33712	2003	FORD	F350	PICKUP - FLATBED - CRANE	SDOT	11976	6/26/2013 0:00	BIDADOO ONLINE AUCTION
26555	2002	FORD	F550	TRUCK - DUMPING FLATBED - CRANE	SPU	21000	10/17/2014 0:00	MURPHYS AUCTION
43685	2004	FORD	F550	TRUCK - DUMP - SANDER - PLOW - CLASS 5	SDOT	19400	6/11/2014 0:00	BIDADOO ONLINE AUCTION
61127	2006	FORD	FOCUS	SUBCOMPACT SEDAN	SPU	6250	5/17/2013 0:00	MURPHYS AUCTION
73584	2007	FORD	RANGER	COMPACT PICKUP	SPU	7351	3/15/2013 0:00	BIDADOO ONLINE AUCTION
13374	2001	GMC	SONOMA	COMPACT PICKUP	DPR	3400	5/17/2013 0:00	MURPHYS AUCTION
23562	2002	GMC	SONOMA	COMPACT PICKUP	SPU	8606	4/24/2013 0:00	BIDADOO ONLINE AUCTION
23718	2002	GMC	SONOMA	COMPACT PICKUP	SDOT	4900	1/29/2013 0:00	BIDADOO ONLINE AUCTION
97635	2009	HARLEY-DAVIDSON	FLHPI ROAD KING	POLICE MOTORCYCLE	SPD	6800	1/25/2015 0:00	BIDADOO ONLINE AUCTION
87613	2008	HARLEY-DAVIDSON	FLHPI ROAD KING	POLICE MOTORCYCLE	SPD	7150	3/20/2013 0:00	BIDADOO ONLINE AUCTION
87603	2008	HARLEY-DAVIDSON	FLHPI ROAD KING	POLICE MOTORCYCLE	SPD	5045	1/7/2015 0:00	BIDADOO ONLINE AUCTION
155996	1996	JOHN DEERE	1200A	BALLFIELD GROOMER	DPR	1275	7/3/2013 0:00	BIDADOO ONLINE AUCTION
76452	2007	JOHN DEERE	ZTRAK M665	MOWER - 72" ROTARY	SPU	3750	9/27/2013 0:00	MURPHYS AUCTION
996548	1999	KENWORTH	T800B	TRUCK - 12 YD DUMP - CLASS 8	SPU	50000	6/27/2013 0:00	MURPHYS AUCTION
33723	2003	PETERBILT	330	TRUCK - SERVICE BODY - CLASS 7	SPU	32500	10/17/2014 0:00	MURPHYS AUCTION
30906	2010	PETERBILT	320	TRUCK - PRESSURE DIGGER	SDOT	125900.01	1/7/2015 0:00	BIDADOO ONLINE AUCTION
45724	2004	PETERBILT	320	TRUCK - EDUCTOR - VAC CON	SPU	55000	8/8/2014 0:00	MURPHYS AUCTION
21536	2002	TOYOTA	PRIUS	COMPACT SEDAN - HYBRID	SDOT	4850	10/15/2014 0:00	BIDADOO ONLINE AUCTION
51021	2005	TOYOTA	PRIUS	COMPACT SEDAN - HYBRID	DPD	10600	10/23/2014 0:00	MURPHYS AUCTION
80442	1981	GMC	T80204	BUS	SPD	500	10/17/2014 0:00	MURPHYS AUCTION
74716	2007	CHEVROLET	COLORADO 4X4	COMPACT PICKUP - CREW CAB - 4X4	SPU	12250	9/27/2013 0:00	MURPHYS AUCTION
43464	2004	JEEP	LIBERTY	COMPACT SUV - 4X4	SPU	6357.5	12/24/2014 0:00	BIDADOO ONLINE AUCTION
83004	2008	CHEVROLET	UPLANDER	PASSENGER MINIVAN	FAS	8500	3/28/2013 0:00	MURPHYS AUCTION
76532	2007	JOHN DEERE	110 TRACTOR/LOADER/BACKHOE	TRACTOR - LOADER - BACKHOE	SPU	29000	11/8/2013 0:00	MURPHYS AUCTION
23664	2002	FORD	F450	PICKUP - FLATBED - CLASS 4	SDOT	9456	7/31/2013 0:00	BIDADOO ONLINE AUCTION
23624	2002	FORD	F450	PICKUP - FLATBED - CLASS 4	SDOT	7150	10/8/2014 0:00	BIDADOO ONLINE AUCTION
38269	2003	GO-4	INTERCEPTOR II	PEO SCOOTER TRAINING	SPD	2000	10/23/2014 0:00	MURPHYS AUCTION
97412	2009	SEGWAY	I2	ELECTRIC PERSONAL MOBILITY DEVICE	FAS	3250	6/12/2013 0:00	BIDADOO ONLINE AUCTION
77306	2007	SEGWAY	I2	ELECTRIC PERSONAL MOBILITY DEVICE	FAS	1000	2/14/2013 0:00	MURPHYS AUCTION
77300	2007	SEGWAY	I2	ELECTRIC PERSONAL MOBILITY DEVICE	SPD	1725	2/17/2015 0:00	BIDADOO ONLINE AUCTION
8120678	1988	BOWIE	HYDRO MULCHER	HYDRO MULCHER - TOWED	DPR	2849	11/12/2014 0:00	BIDADOO ONLINE AUCTION
32447	2005	BEARCAT	CHIPPER	CHIPPER	DPR	1250	5/29/2014 0:00	BIDADOO ONLINE AUCTION
17222	2001	CATERPILLAR	CB-224D	ROLLER - 3 TON DOUBLE DRUM	SDOT	11200	12/19/2013 0:00	BIDADOO ONLINE AUCTION
3007	2000	CHEVROLET	ASTRO	CARGO MINIVAN	DOIT	5000	10/2/2014 0:00	BIDADOO ONLINE AUCTION
13001	2001	CHEVROLET	BLAZER	SUV MIDSIZE 4X4	DOIT	5279	1/29/2014 0:00	BIDADOO ONLINE AUCTION
23307	2002	CHEVROLET	EXPRESS	PASSENGER VAN	DPR	8600	3/28/2013 0:00	MURPHYS AUCTION
